facility_name,facility_id,state,fiscal_year,psi_90_composite_value,psi_90_composite_value_footnote,psi_90_w_z_score,psi_90_w_z_footnote,psi_90_start_date,psi_90_end_date,clabsi_sir,clabsi_sir_footnote,clabsi_w_z_score,clabsi_w_z_footnote,cauti_sir,cauti_sir_footnote,cauti_w_z_score,cauti_w_z_footnote,ssi_sir,ssi_sir_footnote,ssi_w_z_score,ssi_w_z_footnote,cdi_sir,cdi_sir_footnote,cdi_w_z_score,cdi_w_z_footnote,mrsa_sir,mrsa_sir_footnote,mrsa_w_z_score,mrsa_w_z_footnote,hai_measures_start_date,hai_measures_end_date,total_hac_score,total_hac_score_footnote,payment_reduction,payment_reduction_footnote
SOUTHEAST HEALTH MEDICAL CENTER,010001,AL,2026,0.9515,,-0.2580,,07/01/2022,06/30/2024,0.512,,-0.2187,,0.127,,-1.0125,,0.870,,0.0338,,0.435,,0.2222,,0.316,,-0.7969,,01/01/2023,12/31/2024,-0.3384,,No,
MARSHALL MEDICAL CENTERS,010005,AL,2026,0.9745,,-0.0973,,07/01/2022,06/30/2024,0.830,,0.5189,,1.119,,1.3787,,0.165,,-1.1738,,0.581,,0.7875,,2.077,,2.2251,,01/01/2023,12/31/2024,0.6065,,Yes,
NORTH ALABAMA MEDICAL CENTER,010006,AL,2026,1.1358,,1.0283,,07/01/2022,06/30/2024,0.000,,-1.4065,,0.000,,-1.3186,,0.000,,-1.4565,,0.052,,-1.2608,,0.197,,-1.0455,,01/01/2023,12/31/2024,-0.9099,,No,
MIZELL MEMORIAL HOSPITAL,010007,AL,2026,1.0590,,0.4921,,07/01/2022,06/30/2024,N/A,13,N/A,5,0.661,,0.2747,,N/A,13,N/A,5,0.863,,1.8794,,N/A,13,N/A,5,01/01/2023,12/31/2024,0.8821,,Yes,
CRENSHAW COMMUNITY HOSPITAL,010008,AL,2026,N/A,5,N/A,5,07/01/2022,06/30/2024,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,01/01/2023,12/31/2024,N/A,,No,
ST. VINCENT'S EAST,010011,AL,2026,1.0402,29,0.3613,29,07/01/2022,06/30/2024,1.059,29,1.0502,29,0.307,29,-0.5786,29,0.000,29,-1.4565,29,0.468,29,0.3500,29,0.692,29,-0.0111,29,01/01/2023,12/31/2024,-0.0474,,No,
DEKALB REGIONAL MEDICAL CENTER,010012,AL,2026,1.0192,,0.2147,,07/01/2022,06/30/2024,N/A,13,N/A,5,1.030,,1.1642,,1.163,,0.5357,,0.449,,0.2764,,N/A,13,N/A,5,01/01/2023,12/31/2024,0.5478,,Yes,
SHELBY BAPTIST MEDICAL CENTER,010016,AL,2026,1.4414,,2.5111,,07/01/2022,06/30/2024,1.225,,1.4353,,0.655,,0.2603,,0.341,,-0.8723,,0.417,,0.1525,,0.921,,0.4675,,01/01/2023,12/31/2024,0.6591,,Yes,
CALLAHAN EYE HOSPITAL,010018,AL,2026,0.9900,,0.0109,,07/01/2022,06/30/2024,N/A,13,N/A,5,N/A,13,N/A,5,N/A,12,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,01/01/2023,12/31/2024,0.0109,,No,
HELEN KELLER HOSPITAL,010019,AL,2026,0.9283,,-0.4199,,07/01/2022,06/30/2024,1.800,,2.2402,,0.240,,-0.7401,,0.939,,0.1520,,0.986,,2.1931,,0.000,,-1.4573,,01/01/2023,12/31/2024,0.3280,,No,
